Provider,Curator,Feed
Julian,rendered,http://feeds.soundcloud.com/users/soundcloud:users:11727054/sounds.rss
Julian,mom and dad,http://feeds.feedburner.com/SlateMomAndDadAreFighting
Julian,mighty mommy,http://www.quickanddirtytips.com/mommy.xml
Julian,atomic moms,http://feeds.feedburner.com/AtomicMoms
Julian,turning this car,http://feedpress.me/ttca
Julian,preggie pals,http://feeds.feedburner.com/PreggiePals
Julian,twin talks,http://feeds.feedburner.com/TwinTalks
Julian,parent saver,http://feeds.feedburner.com/ParentSavers
Julian,the boob group,http://feeds.feedburner.com/TheBoobGroup
Julian,judge john hodgman,http://feeds.feedburner.com/todayinthepast
Julian,npr bullseye,http://feeds.feedburner.com/tsoya
Julian,risk,http://risk.libsyn.com/rss
Julian,jordan jesse ,http://feeds.feedburner.com/thornmorris
Julian,the kasper house comedy,http://feeds.feedburner.com/kasperhauser
Julian,stop podcasting yourself,http://stoppodcastingyourself.libsyn.com/rss
Julian,throwing shade,http://throwingshade.libsyn.com/rss
Julian,the adventure zone,http://adventurezone.libsyn.com/rss
Julian,mad about movies,http://feeds.feedburner.com/madmovies
Julian,rotten tomatoes,http://feeds.feedburner.com/RTPodcast
Julian,maltin movies,http://feeds.feedburner.com/MaltinOnMovies
Julian,box office breakdown,http://popcorntalknetwork.com/category/shows/box-office-breakdown-podcast/feed/
Julian,film week,http://www.scpr.org/podcasts/filmweek
Julian,movie date,http://feeds.feedburner.com/takeawaymoviedate
Julian,schmoes knows,http://feeds.feedburner.com/SchmoesKnowMoviesPodcast
Julian,slate spoiler,http://feeds.feedburner.com/SlateSpoilerSpecials
Julian,movie of the week,http://feeds.newyorker.com/services/rss/feeds/the_front_row_podcast.xml
Julian,the treatment,http://feeds.kcrw.com/kcrw/tt
Julian,happy hour,http://www.npr.org/rss/podcast.php?id=510282
Julian,the life of dad,http://www.lifeofdad.com/rss_feed.php?type=podcasts
Julian,the bussiness,http://feeds.kcrw.com/kcrw/tb
Julian,doug loves,http://feeds.feedburner.com/DougLovesMovies
Julian,jenna julien,http://feeds.soundcloud.com/users/soundcloud:users:109532020/sounds.rss
Julian,not too deep,http://feeds.feedburner.com/NotTooDeepWithGraceHelbig
Julian,if i were you,http://feeds.feedburner.com/soundcloud/mudw
Julian,psychobabble,http://feeds.podtrac.com/psychobabble
Julian,ear biscuits,http://feeds.soundcloud.com/users/soundcloud:users:59736920/sounds.rss
Julian,brokenpodcast,http://feeds.soundcloud.com/users/soundcloud:users:108697480/sounds.rss
Julian,shane and friends,http://feeds.feedburner.com/shaneandfriends
Julian,overexposed,http://feeds.feedburner.com/kingsleysoverexposed
Julian,rooster teeth,http://s3.roosterteeth.com/podcasts/index.xml
Julian,facerocker,http://feeds.feedburner.com/rocketjump/ghKv
Julian,hello internet,http://feeds.podtrac.com/rZy85ymZYZc$
Julian,now what learn,http://www.nowwhatdidwelearn.info/feed/podcast/
Julian,danny duncan,http://thedannyduncanshow.libsyn.com/rss
Julian,adventures,http://feeds.feedburner.com/AdventuresInRoommating
Julian,welcome to our,http://feeds.soundcloud.com/users/soundcloud:users:87196376/sounds.rss
Julian,the economist,http://feeds.feedburner.com/feedroom/BjnB
Julian,annie mac,http://downloads.bbc.co.uk/podcasts/radio1/r1mix/rss.xml
Julian,unreported,http://xml.channel4.com.dl1.ipercast.net/unreported_world.rss
Julian,tech ten,http://downloads.bbc.co.uk/podcasts/worldservice/tech/rss.xml
Julian,how t everything,http://www.npr.org/rss/podcast.php?id=510303
Julian,books authors,http://downloads.bbc.co.uk/podcasts/radio4/openbook/rss.xml
Julian,adam drew,http://feeds.feedburner.com/TheAdamAndDrewShow
Julian,car talk,http://www.npr.org/rss/podcast.php?id=510208
Julian,unfictional,http://feeds.kcrw.com/kcrw/uf
Julian,nutrition divas,http://www.quickanddirtytips.com/xml/nutrition.xml
Julian,ft money shw,http://podcast.ft.com/rss/22/
Julian,money talks,http://feeds.feedburner.com/economst/audiovideo/moneytalks
Julian,spark london,http://sparklondon.libsyn.com/rss
Julian,superego,http://gosuperego.com/podcast.xml
Julian,ted2015,http://feeds.feedburner.com/TED2015special
Julian,industry standard ,http://industrystandard.fakemustache.libsynpro.com/rss
Julian,i know dino,http://iknowdino.libsyn.com/rss
Julian,tbtl,http://feeds.feedburner.com/2b2l
Julian,meditation minis podcast,http://meditationminis.libsyn.com/rss
Julian,grownups,http://feeds.grownupsreadthingstheywroteaskids.com/podcast
Julian,TMRO,http://www.tmro.tv/feed/podcast/
Julian,60 second space,http://www.scientificamerican.com/sciam/xml/iTunes.cfm?id=60-second-space
Julian,naked astronomy,http://www.thenakedscientists.com/rss/naked_astronomy_enhanced_podcast.xml
Julian,starstuff,http://www.abc.net.au/science/podcast/starstuff.xml
Julian,sound opinions,http://feeds.feedburner.com/TheSoundOpinionsPodcast
Julian,in the casa,http://feeds.feedburner.com/InTheCasaWithSaraBenincasa
Julian,sawbones,http://sawbones.libsyn.com/rss
Julian,dave hills,http://davehillincident.libsyn.com/rss
Julian,wham bam,http://maximumfun.org/feeds/wbp.xml
Julian,international waters,http://www.maximumfun.org/feeds/iw.xml
Julian,americas test,http://feeds.feedburner.com/AmericasTestKitchenRadio
Julian,the clever cookstr,http://www.quickanddirtytips.com/itunes/6004
Julian,telegraph tv,http://i.telegraph.co.uk/telegraph/multimedia/podcasts/telegraphTV10minutes.xml
Julian,start cooking,http://feeds.feedburner.com/KathyMaistersStartCookingVideoCast
Julian,the splendid table ,http://www.splendidtable.org/feeds/podcast.xml
Julian,open source,http://radioopensource.org/feed/
Julian,idle thumbs,http://feeds.feedburner.com/idle-thumbs
Julian,the mature gamer,http://feeds.feedburner.com/TheMatureGamerPodcast
Julian,wired,http://downloads.wired.com/podcasts/xml/gamelifeaudio.xml
Julian,indoor kids,http://theindoorkids.libsyn.com/rss
Julian,lets talk about tech,http://downloads.bbc.co.uk/podcasts/5live/jot/rss.xml
Julian,the patch,http://s3.roosterteeth.com/podcasts/gaming-index.xml
Julian,operation sports,http://operationsportspressrow.libsyn.com/rss
Julian,giant bombcast,http://www.giantbomb.com/feeds/podcast/
Julian,dlc,http://feeds.5by5.tv/dlc
Julian,inside gaming,http://www.insidegamingdaily.com/feed/inside-gaming/
Julian,game scoop,http://feeds.ign.com/ignfeeds/podcasts/gamescoop/
Julian,polygon,http://feeds.feedburner.com/polygonqualitycontrol
Julian,mature,http://feeds.feedburner.com/maturegamer-nightshift
Julian,up up down down,http://www.upup.fm/feed/
Julian,retronauts,http://retronauts.libsyn.com/rss
Julian,a life wasted,http://alifewellwasted.com/episodes/episodes.xml
Julian,rebel fm,http://rebelfm.libsyn.com/rss
Julian,ice t ,http://icetfinallevel.libsyn.com/rss
Julian,she does,http://feedpress.me/shedoes
Julian,new tech,http://feeds.wnyc.org/new-tech-city
Julian,women of marvel,http://marvel.com/podcasts/12/women_of_marvel_podcast/rss
